N;Tiempo
100;0.00000
200;0.00200
300;0.00400
400;0.00599
500;0.00898
600;0.01301
700;0.01799
800;0.02399
900;0.03098
1000;0.03896
1100;0.04699
1200;0.05695
1300;0.06598
1400;0.07594
1500;0.08897
1600;0.10292
1700;0.11493
1800;0.13094
1900;0.14592
2000;0.15991
2100;0.17790
2200;0.19389
2300;0.21288
2400;0.23386
2500;0.25385
2600;0.27782
2700;0.29485
2800;0.32081
2900;0.34281
3000;0.37177
3100;0.39875
3200;0.42378
3300;0.45574
3400;0.48172
3500;0.51270
3600;0.54369
3700;0.57767
3800;0.60664
3900;0.63861
4000;0.67163
4100;0.70559
4200;0.74657
4300;0.77455
4400;0.81155
4500;0.84651
4600;0.88249
4700;0.92145
4800;0.95347
4900;0.99844
5000;1.04440
5100;1.08437
5200;1.13335
5300;1.17332
5400;1.21530
5500;1.25628
5600;1.30823
5700;1.35619
5800;1.40421
5900;1.44915
6000;1.50513
6100;1.55812
6200;1.60909
6300;1.76796
6400;1.71501
6500;1.75997
6600;1.80997
6700;1.87190
6800;1.92891
6900;1.98184
7000;2.04984
7100;2.10577
7200;2.15278
7300;2.22072
7400;2.28469
7500;2.34863
7600;2.40960
7700;2.47859
7800;2.53154
7900;2.59351
8000;2.64947
8100;2.71844
8200;2.80137
8300;2.87235
8400;2.93033
8500;3.00425
8600;3.06523
8700;3.13022
8800;3.33406
8900;3.28513
9000;3.35005
9100;3.43004
9200;3.51298
9300;3.56694
9400;3.65088
9500;3.71686
9600;3.80181
9700;3.88378
9800;3.96573
9900;4.05966
10000;4.13760
10100;4.21757
10200;4.30252
10300;4.40944
10400;4.59937
10500;4.58936
10600;4.66832
10700;4.79222
10800;4.86122
10900;4.95615
11000;5.02809
11100;5.11719
11200;5.21898
11300;5.31894
11400;5.41890
11500;5.49382
11600;5.72672
11700;5.69174
11800;5.77268
11900;5.84661
12000;5.94259
12100;6.05451
12200;6.13745
12300;6.24240
12400;6.35034
12500;6.45728
12600;6.65019
12700;6.64316
12800;6.77711
12900;6.92701
13000;7.09290
13100;7.16787
13200;7.29280
13300;7.25784
13400;7.49267
13500;7.46770
13600;7.61961
13700;7.71058
13800;7.84348
13900;7.97539
14000;8.09038
14100;8.24623
14200;8.49311
14300;8.46512
14400;8.63102
14500;8.75396
14600;8.85090
14700;9.06578
14800;9.11077
14900;9.32161
15000;9.33464
