N;Tiempo
100;0.00000
200;0.00100
300;0.00300
400;0.00502
500;0.00899
600;0.01297
700;0.01801
800;0.02397
900;0.03098
1000;0.03798
1100;0.04597
1200;0.05399
1300;0.06396
1400;0.07396
1500;0.08595
1600;0.09693
1700;0.11095
1800;0.12591
1900;0.13894
2000;0.15491
2100;0.17090
2200;0.18989
2300;0.20588
2400;0.22387
2500;0.23986
2600;0.25887
2700;0.27884
2800;0.30082
2900;0.33081
3000;0.34878
3100;0.37580
3200;0.41274
3300;0.42076
3400;0.44974
3500;0.48372
3600;0.51172
3700;0.54069
3800;0.57067
3900;0.59666
4000;0.63363
4100;0.66862
4200;0.70160
4300;0.73658
4400;0.77056
4500;0.80252
4600;0.83852
4700;0.88547
4800;0.93746
4900;0.95747
5000;0.99641
5100;1.03938
5200;1.07540
5300;1.12535
5400;1.16331
5500;1.21832
5600;1.25627
5700;1.30125
5800;1.37920
5900;1.39320
6000;1.69951
6100;1.55712
6200;1.71001
6300;1.69003
6400;1.72699
6500;1.78899
6600;1.84695
6700;1.85891
6800;1.88992
6900;2.00484
7000;2.08088
7100;2.09579
7200;2.23973
7300;2.27668
7400;2.23369
7500;2.33266
7600;2.38264
7700;2.46256
7800;2.51054
7900;2.76642
8000;2.70444
8100;2.77840
8200;2.83936
8300;2.90035
8400;2.96329
8500;3.01326
8600;2.99528
8700;3.10620
8800;3.19817
8900;3.26112
9000;3.41503
9100;3.58094
9200;3.53694
9300;3.52699
9400;3.64190
9500;3.80779
9600;3.90077
9700;3.93373
9800;3.88678
9900;3.97673
10000;4.07565
10100;4.31951
10200;4.35349
10300;4.49140
10400;4.47244
10500;4.47240
10600;4.56639
10700;4.65530
10800;4.92516
10900;4.97315
11000;5.10008
11100;5.11307
11200;5.18100
11300;5.28196
11400;5.43487
11500;5.48782
11600;5.70276
11700;5.72370
11800;6.03253
11900;6.07449
12000;6.01054
12100;6.23541
12200;6.25342
12300;6.24139
12400;6.43830
12500;6.52624
12600;6.64817
12700;6.70612
12800;6.66816
12900;6.76012
13000;7.14994
13100;7.17985
13200;7.23183
13300;7.74554
13400;7.60862
13500;9.06655
13600;7.97706
13700;8.03535
13800;7.94243
13900;8.09334
14000;8.23025
14100;9.22270
14200;8.59905
14300;8.53810
14400;8.58603
14500;8.86489
14600;8.92185
14700;9.10676
14800;9.27766
14900;9.14375
15000;9.53552
