N;Tiempo
100;0.00000
200;0.00100
300;0.00200
400;0.00500
500;0.00800
600;0.01197
700;0.01601
800;0.02099
900;0.02698
1000;0.03196
1100;0.03900
1200;0.04697
1300;0.05495
1400;0.06298
1500;0.07294
1600;0.08195
1700;0.09195
1800;0.10296
1900;0.11693
2000;0.12891
2100;0.13994
2200;0.15591
2300;0.16988
2400;0.18689
2500;0.19990
2600;0.21586
2700;0.23387
2800;0.25287
2900;0.27084
3000;0.28882
3100;0.30681
3200;0.32981
3300;0.35082
3400;0.36777
3500;0.39277
3600;0.41576
3700;0.43977
3800;0.46371
3900;0.48372
4000;0.51369
4100;0.53971
4200;0.56667
4300;0.59466
4400;0.62064
4500;0.64961
4600;0.68061
4700;0.70659
4800;0.73661
4900;0.76954
5000;0.80254
5100;0.83554
5200;0.86550
5300;0.89946
5400;0.93348
5500;0.96944
5600;1.00540
5700;1.03940
5800;1.07940
5900;1.11934
6000;1.15632
6100;1.20031
6200;1.23329
6300;1.27328
6400;1.31324
6500;1.35822
6600;1.39422
6700;1.43517
6800;1.48713
6900;1.52614
7000;1.57208
7100;1.62908
7200;1.66003
7300;1.83096
7400;1.75797
7500;1.80498
7600;1.85591
7700;1.90390
7800;1.95188
7900;2.01686
8000;2.07981
8100;2.12678
8200;2.16675
8300;2.21872
8400;2.29868
8500;2.37263
8600;2.47656
8700;2.47159
8800;2.54056
8900;2.61749
9000;2.64050
9100;2.65447
9200;2.71644
9300;2.78238
9400;2.83637
9500;2.89133
9600;2.95630
9700;3.02126
9800;3.21017
9900;3.14917
10000;3.21215
10100;3.28013
10200;3.35705
10300;3.40406
10400;3.47900
10500;3.55294
10600;3.61993
10700;3.67487
10800;3.74684
10900;3.82480
11000;3.88876
11100;3.96374
11200;4.04167
11300;4.12263
11400;4.23954
11500;4.31653
11600;4.32851
11700;4.41244
11800;4.47144
11900;4.56035
12000;4.62833
12100;4.72126
12200;4.78524
12300;4.87521
12400;4.95013
12500;5.03810
12600;5.10506
12700;5.33293
12800;5.26897
12900;5.35690
13000;5.45784
13100;5.52082
13200;5.61776
13300;5.69074
13400;5.75086
13500;5.91957
13600;5.97356
13700;6.11150
13800;6.19541
13900;6.18945
14000;6.27637
14100;6.36136
14200;6.45228
14300;6.52322
14400;6.61621
14500;6.72211
14600;6.80908
14700;7.03397
14800;7.03998
14900;7.14786
15000;7.23485
