N;Tiempo
100;0.00200
200;0.00700
300;0.01301
400;0.01897
500;0.03098
600;0.04497
700;0.06296
800;0.08197
900;0.09992
1000;0.12795
1100;0.15991
1200;0.19387
1300;0.22887
1400;0.25687
1500;0.27882
1600;0.32981
1700;0.37480
1800;0.40377
1900;0.45172
2000;0.51272
2100;0.58764
2200;0.64165
2300;0.68359
2400;0.73160
2500;0.85549
2600;0.95947
2700;0.95545
2800;1.06639
2900;1.19130
3000;1.32624
3100;1.29927
3200;1.42719
3300;1.44015
3400;1.54312
3500;1.63509
3600;1.88691
3700;1.93689
3800;1.99584
3900;2.05482
4000;2.23273
4100;2.32565
4200;2.45858
4300;2.57550
4400;2.72644
4500;2.86335
4600;2.89732
4700;3.14019
4800;3.31509
4900;3.26512
5000;3.39007
5100;3.69485
5200;3.77484
5300;4.00070
5400;4.02768
5500;4.13461
5600;4.41347
5700;4.45643
5800;4.74726
5900;4.90799
6000;4.86622
6100;5.04809
6200;5.32292
6300;5.45487
6400;5.51381
6500;5.80266
6600;5.88661
6700;6.02410
6800;6.52822
6900;6.66018
7000;6.72512
7100;7.00498
7200;7.38774
7300;7.98442
7400;8.51011
7500;8.04744
7600;8.32121
7700;8.38522
7800;8.03745
7900;8.29222
8000;8.80693
8100;9.75040
8200;9.27066
8300;9.27364
8400;9.74739
8500;9.80239
8600;10.07119
8700;10.13316
8800;10.08021
8900;10.37902
9000;10.58489
9100;10.84975
9200;11.03464
9300;11.30251
9400;11.56334
9500;11.76622
9600;12.05606
9700;12.54975
9800;12.79664
9900;13.16042
10000;13.02148
10100;13.41629
10200;13.51622
10300;13.86603
10400;14.16384
10500;14.39071
10600;14.75350
10700;15.16977
10800;15.46011
10900;15.70594
11000;15.75591
11100;16.05481
11200;16.36558
11300;16.83628
11400;16.94824
11500;17.26605
11600;17.58689
11700;18.03759
11800;18.15556
11900;18.51234
12000;18.96906
12100;19.15697
12200;19.59870
12300;20.13942
12400;20.17738
12500;22.16827
12600;21.28776
12700;21.02887
12800;21.45067
12900;21.97734
13000;22.16224
13100;22.53704
13200;22.71292
13300;23.02472
13400;23.59839
13500;23.72132
13600;24.18109
13700;24.65780
13800;24.86868
13900;25.63222
14000;25.57127
14100;26.12497
14200;26.33283
14300;26.75359
14400;27.17333
14500;27.47218
14600;28.14079
14700;28.21075
14800;28.82540
14900;28.99328
15000;29.55000
