N;Tiempo
2;0.00000
4;0.00000
6;0.00000
8;0.00000
10;0.00000
12;0.00000
14;0.00000
16;0.00000
18;0.00000
20;0.00000
22;0.00000
24;0.00102
26;0.00000
28;0.00000
30;0.00000
32;0.00000
34;0.00000
36;0.00100
38;0.00000
40;0.00000
42;0.00000
44;0.00000
46;0.00000
48;0.00000
50;0.00000
