N;Tiempo
100;0.00100
200;0.00400
300;0.00999
400;0.01899
500;0.03100
600;0.04597
700;0.05897
800;0.07695
900;0.10094
1000;0.12991
1100;0.15893
1200;0.17990
1300;0.21987
1400;0.24186
1500;0.27684
