N;Tiempo
100;0.00200
200;0.00500
300;0.01199
400;0.01098
500;0.01299
600;0.01499
700;0.01597
800;0.02001
900;0.02599
1000;0.03196
1100;0.03798
1200;0.04497
1300;0.05597
1400;0.06496
1500;0.07496
